Site,Season,UniqueID,Benthos,Quad_ID,ID_number,Day_Night,Sampling_Date,Sampling_Time,Processing_DateTime,TempInLab,mV,Salinity,TA,TempInSitu,TrisCalDate,Salinity_Calibration_Date,Salinity_Lab,Salinity_Lab_Date,NO3,PO4,SIL,NO2,NH4,Notes
Long Beach,Fall,OO_Dusk5,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,10/26/2023 21:00,21.636,-84.7,33.4,2209.358642,19.99,20231024,10/26/2023,33.7,12/7/2023,NA,NA,NA,NA,NA,"Nutrient and TA bag might have been switched, reran old TA 2205.629505"
Long Beach,Fall,OO_Dusk5d,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,10/26/2023 21:00,15.372,-78.6,32.78,NA,19.99,20231024,10/26/2023,NA,12/7/2023,NA,NA,NA,NA,NA,"From Nutrient bag, dirty water"
Long Beach,Fall,M4_Duskb,Mussel,M4,4,Dusk,10/25/2023,18:02,10/26/2023 21:00,21.888,-82.5,33.64,2214.978147,20.16,20231024,10/26/2023,33.71,12/7/2023,0.66,0.12,3.6,0.07,1.43,
Long Beach,Fall,P4_Duskc,Surfgrass,P4,4,Dusk,10/25/2023,18:02,10/26/2023 21:00,21.477,-83,33.31,NA,20.07,20231024,10/26/2023,NA,12/7/2023,0.02,0.19,3.3,0.04,0.5,Not enough TA
Long Beach,Fall,M6_Dusk,Mussel,M6,6,Dusk,10/25/2023,18:02,10/26/2023 21:00,21.21,-83.7,33.58,2211.905567,20.16,20231024,10/26/2023,33.75,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,Fall,M1_Dusk,Mussel,M1,1,Dusk,10/25/2023,18:02,10/26/2023 21:00,21.198,-82.3,33.65,2128.295257,20.12,20231024,10/26/2023,33.7,12/7/2023,0.23,0.13,2.7,0.06,0.16,"Reran, old TA 2134.53472"
Long Beach,Fall,B2_Duskb,Barnacle,B2,2,Dusk,10/25/2023,18:02,10/26/2023 21:00,NA,NA,NA,NA,20.12,20231024,10/26/2023,NA,12/7/2023,0.78,0.27,3.5,0.12,0.46,No TA
Long Beach,Fall,M2_Dusk,Mussel,M2,2,Dusk,10/26/2023,18:01,10/27/2023 21:00,20.984,-81.8,33.56,2177.124865,19.73,20231027,10/27/2023,33.61,12/7/2023,1.69,0.43,4.9,0.35,2.01,"Reran, old TA 2188.977253"
Long Beach,Fall,M6_Duskb,Mussel,M6,6,Dusk,10/26/2023,18:01,10/27/2023 21:00,21.046,-85.5,33.46,2166.188583,19.65,20231027,10/27/2023,33.68,12/7/2023,0.67,0.24,5.6,0.13,1.14,
Long Beach,Fall,P2_Dusk,Surfgrass,P2,2,Dusk,10/26/2023,18:01,10/27/2023 21:00,21.136,-87.4,33.65,2188.559122,19.52,20231027,10/27/2023,33.67,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,Fall,P4_Duskd,Surfgrass,P4,4,Dusk,10/26/2023,18:01,10/27/2023 21:00,21.241,-84.7,33.51,2179.547055,19.09,20231027,10/27/2023,33.6,12/7/2023,0.18,0.7,6.7,0.11,0.62,"Used pH/sal water for TA, not enough"
Long Beach,Fall,B6_Duskc,Barnacle,B6,6,Dusk,10/26/2023,18:01,10/27/2023 21:00,20.961,-84.3,33.71,2195.651254,20.07,20231027,10/27/2023,33.76,12/7/2023,NA,NA,NA,NA,NA,"Left for 2 days without processing, no Nutrients, reran old TA 2204.665304"
Long Beach,Fall,OO_Dusk6,Open Ocean,OO6,6,Dusk,10/26/2023,18:01,10/27/2023 21:00,NA,NA,NA,NA,19.52,20231027,10/27/2023,NA,12/7/2023,2.84,0.33,4.9,0.31,3.41,No TA
Long Beach,Fall,M3_Dusk,Mussel,M3,3,Dusk,10/27/2023,19:04,10/28/2023 21:00,20.405,-86.7,33.08,2184.512938,19.17,20231027,10/28/2023,NA,12/7/2023,0.18,5.3,6.4,0.53,0.55,"No fDOM, not 3x rinsed for nutrients"
Long Beach,Fall,P3_Duskb,Surfgrass,P3,3,Dusk,10/27/2023,19:04,10/28/2023 21:00,19.843,-85.6,33.14,2163.141588,19.17,20231027,10/28/2023,33.6,12/7/2023,0.3,0.34,4.7,0.07,0.15,
Long Beach,Fall,OO_Dusk7,Open Ocean,OO7,7,Dusk,10/27/2023,19:04,10/28/2023 21:00,20.146,-87.1,33.06,2185.519865,19.05,20231027,10/28/2023,33.63,12/7/2023,0.48,0.39,5.4,0.14,0.09,
Long Beach,Fall,B6_Duskd,Barnacle,B6,6,Dusk,10/27/2023,19:04,10/28/2023 21:00,19.511,-87.9,33.02,2168.700429,19.09,20231027,10/28/2023,33.62,12/7/2023,0.58,0.42,4.5,0.13,0.26,"Reran, old TA 2184.136226"
Long Beach,Fall,P2_Duskb,Surfgrass,P2,2,Dusk,10/27/2023,19:04,10/28/2023 21:00,NA,NA,NA,NA,19.09,20231027,10/28/2023,NA,12/7/2023,NA,NA,NA,NA,NA,No TA
Long Beach,Fall,OO_Dawn8,Open Ocean,OO8,8,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.607,-67.4,33.16,2219.992029,17.29,20231029,10/29/2023,33.58,12/7/2023,1,0.36,5.3,0.19,1.64,
Long Beach,Fall,P3_Dawn,Surfgrass,P3,3,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.52,-66.3,33.2,NA,17.33,20231029,10/29/2023,33.6,12/7/2023,0.47,0.33,4.7,0.09,0.42,
Long Beach,Fall,P6_Dawn,Surfgrass,P6,6,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.14,-64.9,33.13,NA,17.37,20231029,10/29/2023,33.64,12/7/2023,0.6,0.31,4.3,0.25,1.57,
Long Beach,Fall,RW2_Dawn,Rockweed,RW2,2,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.624,-66.6,33.2,2169.688766,17.37,20231029,10/29/2023,33.64,12/7/2023,3.3,0.34,5.4,0.46,1.76,"Reran, old TA 2184.952387"
Long Beach,Fall,RW6_Dawn,Rockweed,RW6,6,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.276,-68,33.13,2212.891689,17.07,20231029,10/29/2023,33.58,12/7/2023,0.56,0.33,5.5,0.08,0.73,"Reran, old TA 2230.352474"
Long Beach,Fall,B3_Dawn,Barnacle,B3,3,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.365,-69.4,33.17,2178.453922,17.33,20231029,10/29/2023,33.55,12/7/2023,0.69,0.48,4.6,0.16,0.65,Reran old TA 2190.67308
Long Beach,Fall,B6_Dawn,Barnacle,B6,6,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.357,-70.2,33.12,2171.438491,17.24,20231029,10/29/2023,33.58,12/7/2023,0.82,0.36,4.5,0.16,1.26,Reran old TA 2183.365867
Long Beach,Fall,M2_Dawn,Mussel,M2,2,Dawn,10/29/2023,7:04,10/29/2023 21:00,21.152,-70.4,33.02,2226.115478,17.5,20231029,10/29/2023,33.57,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,Fall,RW4_Dawn,Rockweed,RW4,4,Dawn,10/29/2023,7:04,10/29/2023 21:00,NA,NA,NA,NA,17.07,20231029,10/29/2023,NA,12/7/2023,0.48,0.8,5.6,0.19,0.54,No TA
Long Beach,Fall,P2_Dawn,Surfgrass,P2,2,Dawn,10/29/2023,7:04,10/29/2023 21:00,NA,NA,NA,NA,17.07,20231029,10/29/2023,NA,12/7/2023,0.74,0.4,5.8,0.11,0.53,No TA
Long Beach,Fall,M6_Dawn,Mussel,M6,6,Dawn,10/29/2023,7:04,10/29/2023 21:00,NA,NA,NA,NA,17.41,20231029,10/29/2023,NA,12/7/2023,0.31,0.38,4.2,0.09,0.34,No TA
Long Beach,Fall,OO_Dawn9,Open Ocean,OO9,9,Dawn,10/30/2023,7:05,10/30/2023 21:00,22.367,-68.8,33.91,2218.082634,16.9,20231029,10/30/2023,33.65,12/7/2023,NA,NA,NA,NA,NA,
Long Beach,Fall,M2_Dawnb,Mussel,M2,2,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.951,-70.7,33.69,2197.223426,17.33,20231029,10/30/2023,33.66,12/7/2023,1.22,0.28,3.8,0.17,1.2,
Long Beach,Fall,M6_Dawnb,Mussel,M6,6,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.983,-69.1,33.74,2173.778668,17.11,20231029,10/30/2023,33.67,12/7/2023,NA,NA,NA,NA,NA,No Nutrients
Long Beach,Fall,RW1_Dawn,Rockweed,RW1,1,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.774,-67.3,33.46,2211.992538,16.34,20231029,10/30/2023,33.68,12/7/2023,NA,NA,NA,NA,NA,"No Nutrients, reran old TA 2210.155966"
Long Beach,Fall,RW4_Dawnb,Rockweed,RW4,4,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.607,-67.1,33.6,2175.352399,16.39,20231029,10/30/2023,33.63,12/7/2023,0.81,0.35,5,0.19,1.39,"Reran, old TA 2192.426191"
Long Beach,Fall,RW5_Dawn,Rockweed,RW5,5,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.69,-66.1,33.4,2221.966929,16.3,20231029,10/30/2023,33.67,12/7/2023,NA,NA,NA,NA,NA,"TA not 3x rinsed, reran old TA 2234.611657"
Long Beach,Fall,P4_Dawn,Surfgrass,P4,4,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.599,-67.4,33.58,2197.016822,16.39,20231029,10/30/2023,33.65,12/7/2023,0.4,0.29,5,0.04,0.41,
Long Beach,Fall,P5_Dawn,Surfgrass,P5,5,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.37,-65.6,33.49,2225.757886,16.39,20231029,10/30/2023,33.76,12/7/2023,NA ,NA,NA,NA,NA,"No Nutrients, TA not 3x rinsed"
Long Beach,Fall,B2_Dawn,Barnacle,B2,2,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.539,-67.2,33.53,2132.800835,16.73,20231029,10/30/2023,33.84,12/7/2023,1.1,0.29,4.1,0.17,2.34,"Reran, old TA 2136.819804"
Long Beach,Fall,B4_Dawn,Barnacle,B4,4,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.463,-70.8,33.59,2182.24736,17.03,20231029,10/30/2023,33.66,12/7/2023,NA,NA,NA,NA,NA,"No Nutrients, reran old TA 2187.963101"
Long Beach,Fall,B5_Dawn,Barnacle,B5,5,Dawn,10/30/2023,7:05,10/30/2023 21:00,21.395,-70.8,33.58,2186.084186,16.9,20231029,10/30/2023,33.78,12/7/2023,0.65,0.28,3.2,0.27,1.68,Reran old TA 2203.274202
Long Beach,Fall,B1_Dawn,Barnacle,B1,1,Dawn,10/31/2023,7:06,10/31/2023 20:30,21.381,-71,33.54,2211.062612,16.73,20231029,10/31/2023,33.74,12/7/2023,0.73,0.28,3.7,0.11,0.66,"TA Tubing ripped off, reran old TA 2209.027608"
Long Beach,Fall,B4_Dawnb,Barnacle,B4,4,Dawn,10/31/2023,7:06,10/31/2023 20:30,21.648,-70.1,33.54,2193.935462,16.99,20231029,10/31/2023,33.74,12/7/2023,0.81,0.31,3.5,0.18,1.37,"Reran, old TA 2198.113001"
Long Beach,Fall,M1_Dawn,Mussel,M1,1,Dawn,10/31/2023,7:06,10/31/2023 20:30,21.576,-69.6,33.6,2225.509164,17.03,20231029,10/31/2023,33.68,12/7/2023,1.28,0.27,4.1,0.2,1.03,
Long Beach,Fall,P2_Dawnb,Surfgrass,P2,2,Dawn,10/31/2023,7:06,10/31/2023 20:30,21.405,-80,33.41,NA,16.6,20231029,10/31/2023,NA,12/7/2023,NA,NA,NA,NA,NA,Not enough for TA
Long Beach,Fall,M6_Dawnc,Mussel,M6,6,Dawn,10/31/2023,7:06,10/31/2023 20:30,21.297,-71.1,33.6,2189.385653,17.11,20231029,10/31/2023,33.77,12/7/2023,1.06,0.28,3.6,0.18,1.25,
Long Beach,Fall,P5_Dawnb,Surfgrass,P5,5,Dawn,11/1/2023,7:25,11/1/2023 21:00,21.5,-68.2,33.46,2217.608829,16.64,20231101,11/1/2023,33.85,12/7/2023,0.65,0.25,6.8,0.04,0.24,
Long Beach,Fall,P1_Dawn,Surfgrass,P1,1,Dawn,11/1/2023,7:25,11/1/2023 21:00,21.5,-78.7,33.48,NA,16.64,20231101,11/1/2023,NA,12/7/2023,0.94,0.35,5.5,0.15,0.84,
Long Beach,Fall,M5_Dawn,Mussel,M5,5,Dawn,11/1/2023,7:25,11/1/2023 21:00,21.6,-70.1,33.53,2200.67698,17.24,20231101,11/1/2023,33.74,12/7/2023,0.98,0.29,4.4,0.12,0.82,
Long Beach,Fall,OO_Dusk1a,Open Ocean,OO1,1,Dusk,10/21/2023,17:00,10/21/2023 18:00,18.633,-78.5,33.14,2231.968299,18.1,20231019,10/21/2023,33.42,12/7/2023,3.2,0.41,5.9,0.12,1.17,"used RW1 as temperature for all OO HC Hand collected ""mid"" salinity cal done on this day"
Long Beach,Fall,OO_Dusk1b,Open Ocean,OO1,1,Dusk,10/21/2023,17:00,10/21/2023 18:00,18.469,-79,33.22,2216.123617,18.1,20231019,10/21/2023,33.52,12/7/2023,NA,NA,NA,NA,NA,"Hand collected ""west"""
Long Beach,Fall,OO_Dusk1c,Open Ocean,OO1,1,Dusk,10/21/2023,17:00,10/21/2023 18:00,18.27,-79.8,33.28,2206.312543,18.1,20231019,10/21/2023,33.47,12/7/2023,NA,NA,NA,NA,NA,"Hand collected ""east"""
Long Beach,Fall,OO_Dusk2a,Open Ocean,OO2,2,Dusk,10/22/2023,18:05,10/22/2023 18:45,19.587,-81.9,33.41,2204.355511,19.09,20231019,10/21/2023,33.58,12/7/2023,1.76,0.33,3.2,0.14,1.46,"Hand collected “west"" not sure if salinity lab is east or west"
Long Beach,Fall,OO_Dusk2b,Open Ocean,OO2,2,Dusk,10/22/2023,18:05,10/22/2023 18:45,19.469,-82.8,33.34,2208.445487,19.09,20231019,10/21/2023,33.71,12/7/2023,NA,NA,NA,NA,NA,"Hand collected “east"" not sure if salinity lab is east or west"
Long Beach,Fall,OO_Dusk3a,Open Ocean,OO3,3,Dusk,10/23/2023,18:04,10/23/2023 18:50,18.14,-82,32.87,2209.576269,17.67,20231023,10/21/2023,33.47,12/7/2023,NA,NA,NA,NA,NA,"Hand collected ""west"", TA is in east bottle"
Long Beach,Fall,OO_Dusk3b,Open Ocean,OO3,3,Dusk,10/23/2023,18:04,10/23/2023 18:50,18.084,-83.3,33.03,2198.196369,17.67,20231023,10/21/2023,33.55,12/7/2023,NA,NA,NA,NA,NA,"Hand collected ""mid"""
Long Beach,Fall,OO_Dusk3c,Open Ocean,OO3,3,Dusk,10/23/2023,18:04,10/23/2023 18:50,18.574,-84,33.15,2204.813363,17.67,20231023,10/21/2023,33.59,12/7/2023,0.91,0.51,6.1,0.12,0.49,"Hand collected ""east"", TA is in west bottle"
Long Beach,Fall,OO_Dusk4a,Open Ocean,OO4,4,Dusk,10/24/2023,18:03,10/24/2023 19:00,19.3,-82.9,33.18,2199.373015,19.22,20231023,10/24/2023,33.57,12/7/2023,NA,NA,NA,NA,NA,"Hand collected ""mid"" , Nutrients may be contaminated salinity cal done on this day but not since 10-21"
Long Beach,Fall,OO_Dusk4b,Open Ocean,OO4,4,Dusk,10/24/2023,18:03,10/24/2023 19:00,19.128,-85.4,33.32,2201.032858,19.22,20231023,10/24/2023,33.55,12/7/2023,NA,NA,NA,NA,NA,"Hand collected “west"" 10-24 samples labeled A B C Hand collected ""west"""
Long Beach,Fall,OO_Dusk4c,Open Ocean,OO4,4,Dusk,10/24/2023,18:03,10/24/2023 19:00,19.17,-84.9,33.35,2203.653311,19.22,20231023,10/24/2023,33.58,12/7/2023,1.97,0.44,5.3,0.33,2.05,"Hand collected ""east"""
Long Beach,Fall,OO_Dusk5a,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,10/25/2023 19:00,19.158,-86.8,34.03,2197.487114,20.07,20231023,10/24/2023,33.63,12/7/2023,2.52,0.39,4.4,0.12,0.68,Hand collected
Long Beach,Fall,OO_Dusk5b,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,10/25/2023 19:00,18.921,-86.4,33.58,2198.677918,20.07,20231023,10/24/2023,33.63,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,OO_Dusk5c,Open Ocean,OO5,5,Dusk,10/25/2023,18:02,10/25/2023 19:00,18.799,-86.9,33.66,2205.559714,20.07,20231023,10/24/2023,33.69,12/7/2023,NA,NA,NA,NA,NA,"Hand collected, reran old TA 2198.307934"
Long Beach,Fall,OO_Dusk6c,Open Ocean,OO6,6,Dusk,10/26/2023,18:01,10/26/2023 19:00,18.536,-86.4,33.68,2196.802024,19.52,20231023,10/26/2023,33.5,12/7/2023,NA,NA,NA,NA,NA,"Hand collected, reran old TA  2202.836256"
Long Beach,Fall,OO_Dusk6b,Open Ocean,OO6,6,Dusk,10/26/2023,18:01,10/26/2023 19:00,18.329,-85.2,33.54,2200.280711,19.52,20231023,10/26/2023,33.64,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,OO_Dusk6a,Open Ocean,OO6,6,Dusk,10/26/2023,18:01,10/26/2023 19:00,18.331,-84.8,33.62,2199.627689,19.52,20231023,10/26/2023,33.75,12/7/2023,3.05,0.47,5.9,0.18,1.38,Hand collected
Long Beach,Fall,OO_Dusk7a,Open Ocean,OO7,7,Dusk,10/27/2023,19:04,10/27/2023 19:10,17.78,-88.4,33.35,2196.578923,19.05,20231027,10/27/2023,33.61,12/7/2023,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dusk7b,Open Ocean,OO7,7,Dusk,10/27/2023,19:04,10/27/2023 19:10,17.885,-87.8,33.48,2192.21933,19.05,20231027,10/27/2023,33.64,12/7/2023,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dusk7c,Open Ocean,OO7,7,Dusk,10/27/2023,19:04,10/27/2023 19:10,17.929,-88.5,33.75,2201.754365,19.05,20231027,10/27/2023,33.73,12/7/2023,3.54,0.56,6,0.45,2.52,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn8a,Open Ocean,OO8,8,Dawn,10/29/2023,7:04,10/29/2023 8:00,16.529,-70,33.21,2213.370219,17.03,20231027,10/28/2023,33.51,12/7/2023,1.37,0.42,5,0.11,0.94,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn8b,Open Ocean,OO8,8,Dawn,10/29/2023,7:04,10/29/2023 8:00,16.593,-69.3,33.28,2220.372576,17.03,20231027,10/28/2023,33.57,12/7/2023,4.35,0.46,5.3,0.2,1.3,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn8c,Open Ocean,OO8,8,Dawn,10/29/2023,7:04,10/29/2023 8:00,16.644,-73.5,33.11,2212.627149,17.03,20231027,10/28/2023,33.56,12/7/2023,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn9a,Open Ocean,OO9,9,Dawn,10/30/2023,7:05,10/30/2023 8:00,15.349,-71.9,33.14,2264.664963,16.34,20231029,10/29/2023,33.64,12/7/2023,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn9b,Open Ocean,OO9,9,Dawn,10/30/2023,7:05,10/30/2023 8:00,15.621,-72.7,33.19,2225.485883,16.34,20231029,10/29/2023,33.65,12/7/2023,0.9,0.38,3.7,0.19,1.14,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn9c,Open Ocean,OO9,9,Dawn,10/30/2023,7:05,10/30/2023 8:00,15.953,-74,33.21,2218.308996,16.34,20231029,10/29/2023,33.72,12/7/2023,NA,NA,NA,NA,NA,Hand collected salinity lab not labeled A B C
Long Beach,Fall,OO_Dawn10a,Open Ocean,OO10,10,Dawn,10/31/2023,7:06,10/31/2023 8:00,16.37,-71.4,33.51,2216.754422,16.43,20231029,10/30/2023,33.75,12/7/2023,NA,NA,NA,NA,NA,"Hand collected, falcon tube brown spots"
Long Beach,Fall,OO_Dawn10b,Open Ocean,OO10,10,Dawn,10/31/2023,7:06,10/31/2023 8:00,15.811,-72.7,33.57,2227.049257,16.43,20231029,10/30/2023,33.76,12/7/2023,0.65,0.33,3.9,0.17,1.55,Hand collected
Long Beach,Fall,OO_Dawn10c,Open Ocean,OO10,10,Dawn,10/31/2023,7:06,10/31/2023 8:00,15.952,-72.9,33.68,2223.655972,16.43,20231029,10/30/2023,33.76,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,OO_Dawn11a,Open Ocean,OO11,11,Dawn,11/1/2023,7:25,11/1/2023 8:10,17.867,-72.6,33.94,2223.423959,16.51,20231029,10/31/2023,33.75,12/7/2023,1.01,0.37,5.8,0.13,0.89,"Hand collected, pH probe solution spilled out, fDOM may not be cold enough"
Long Beach,Fall,OO_Dawn11b,Open Ocean,OO11,11,Dawn,11/1/2023,7:25,11/1/2023 8:10,17.954,-73.4,33.61,2222.970864,16.51,20231029,10/31/2023,33.86,12/7/2023,NA,NA,NA,NA,NA,"Hand collected, pH probe solution spilled out"
Long Beach,Fall,OO_Dawn11c,Open Ocean,OO11,11,Dawn,11/1/2023,7:25,11/1/2023 8:10,17.886,-73.2,33.58,2225.065166,16.51,20231029,10/31/2023,33.7,12/7/2023,NA,NA,NA,NA,NA,"Hand collected, pH probe solution spilled out, no falcon tube"
Long Beach,Fall,RW3_Dawn,Rockweed,RW3,3,Dawn,11/1/2023,7:25,11/1/2023 8:10,NA,NA,NA,NA,16.64,20231029,NA,NA,NA,0.19,0.32,4.9,0.1,0.38,"Not in original data sheet, but labeled in freezer"
Long Beach,Fall,OO_Dawn12a,Open Ocean,OO12,12,Dawn,11/2/2023,7:45,11/2/2023 8:20,16.013,-75.3,33.45,2215.173011,16.51,20231101,11/1/2023,33.62,12/7/2023,0.76,0.35,4.7,0.1,0.73,Hand collected
Long Beach,Fall,OO_Dawn12b,Open Ocean,OO12,12,Dawn,11/2/2023,7:45,11/2/2023 8:20,15.873,-75,33.98,2208.129756,16.51,20231101,11/1/2023,33.73,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,OO_Dawn12c,Open Ocean,OO12,12,Dawn,11/2/2023,7:45,11/2/2023 8:20,16.007,-74.7,33.61,NA,16.51,20231101,11/1/2023,NA,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,RW1_Dawn,Rockweed,RW1,1,Dawn,11/2/2023,7:45,11/2/2023 22:00,20.397,-69.5,33.21,2176.653013,16.69,20231101,11/2/2023,33.71,12/7/2023,NA,NA,NA,NA,NA,"No Nutrients, reran old ta 2189.911946"
Long Beach,Fall,RW5_Dawn,Rockweed,RW5,5,Dawn,11/2/2023,7:45,11/2/2023 22:00,19.853,-70.9,33.41,2164.969073,16.56,20231101,11/2/2023,33.68,12/7/2023,0.52,0.31,6,0.08,0.51,Reran old TA 2185.980588
Long Beach,Fall,P1_Dawnb,Surfgrass,P1,1,Dawn,11/2/2023,7:45,11/2/2023 22:00,NA,NA,NA,NA,16.64,20231101,11/2/2023,NA,12/7/2023,NA,NA,NA,NA,NA,"No TA, mostly in corraline but near surf grass"
Long Beach,Fall,B1_Dawnb,Barnacle,B1,1,Dawn,11/2/2023,7:45,11/2/2023 22:00,NA,NA,NA,NA,17.16,20231101,11/2/2023,NA,12/7/2023,2.98,0.32,4,0.42,1.7,No TA
Long Beach,Fall,OO_Dawn13a,Open Ocean,OO13,13,Dawn,11/3/2023,8:06,11/3/2023 8:25,16.774,-74.8,32.72,2221.149495,17.07,20231101,11/2/2023,33.61,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,OO_Dawn13b,Open Ocean,OO13,13,Dawn,11/3/2023,8:06,11/3/2023 8:25,16.963,-76.1,32.88,2225.518947,17.07,20231101,11/2/2023,33.61,12/7/2023,4.96,0.41,3.6,0.12,1.41,Hand collected
Long Beach,Fall,OO_Dawn13c,Open Ocean,OO13,13,Dawn,11/3/2023,8:06,11/3/2023 8:25,17.04,-76.9,32.88,2217.268543,17.07,20231101,11/2/2023,NA,12/7/2023,NA,NA,NA,NA,NA,Hand collected
Long Beach,Fall,RW1_Dawnb,Rockweed,RW1,1,Dawn,11/3/2023,8:06,11/3/2023 22:00,20.209,-73.1,34.1,2188.014923,17.16,20231101,11/3/2023,33.6,12/7/2023,NA,NA,NA,NA,NA,Reran old TA 2216.737886 ROSS may have dripped into pH/sal sample
Long Beach,Fall,RW1_Dawnc,Rockweed,RW1,1,Dawn,11/3/2023,8:06,11/3/2023 22:00,20.548,-72.3,33.37,NA,17.16,20231101,11/3/2023,NA,12/7/2023,NA,NA,NA,NA,NA,"Redo, used small amount from TA bottle"
Long Beach,Fall,RW3_Dawn,Rockweed,RW3,3,Dawn,11/3/2023,8:06,11/3/2023 22:00,19.789,-75,33.26,2198.844284,17.2,20231101,11/3/2023,33.6,12/7/2023,0.92,0.61,4.3,0.1,0.47,"Reran, old TA 2204.376482"
Long Beach,Fall,B1_Dawn,Barnacle,B1,1,Dawn,11/3/2023,8:06,11/3/2023 22:00,20.363,-74.6,33.47,2181.355309,17.84,20231101,11/3/2023,33.71,12/7/2023,0.51,0.31,3.5,0.06,0.95,Reran old TA 2196.263611
Long Beach,Spring,B3_Dawn,Barnacle,B3,3,Dawn,4/3/2024,6:36,4/3/2024,21.1636,-77.5,32.33,2218.051252,14.11,20240404,4/3/2024,33.29,6/4/2024,1.19,0.47,4,0.13,1.42,No 3x rinse
Long Beach,Spring,P3_Dawn,Surfgrass,P3,3,Dawn,4/3/2024,6:36,4/3/2024,22.1647,-71.3,32.32,2202.678888,14.03,20240404,,33.08,6/4/2024,NA,NA,NA,NA,NA,"1x rinse for falcon dirty nutrient water clean Nalgene, probably switched"
Long Beach,Spring,B5_Dawn,Barnacle,B5,5,Dawn,4/3/2024,6:36,4/3/2024,21.265,-77.5,32.6,2219.643811,14.11,20240404,,33.23,6/4/2024,1.55,0.43,4.9,0.16,1.49,
Long Beach,Spring,P5_Dawn,Surfgrass,P5,5,Dawn,4/3/2024,6:36,4/3/2024,21.572,-73.1,32,2208.829608,14.11,20240404,,33.11,6/4/2024,1.45,0.48,5.6,0.18,1.19,
Long Beach,Spring,OO_Dawn1,Open Ocean,OO1,1,Dawn,4/3/2024,6:15,4/3/2024,11.433,-79.8,31.07,2236.297592,14.28,20240404,,32.99,6/4/2024,4.58,0.63,8.1,0.15,1.47,"350 mls of nutrient, used B2 for temp"
Long Beach,Spring,P4_Dawn,Surfgrass,P4,5,Dawn,4/4/2024,6:35,4/4/2024,19.592,-73.9,32.82,2218.955715,14.45,20240404,,33.28,6/4/2024,NA,NA,NA,NA,NA,Not nut
Long Beach,Spring,P6_Dawn,Surfgrass,P6,6,Dawn,4/4/2024,6:35,4/4/2024,19.472,-77.5,32.8,2221.365627,14.58,20240404,,33.25,6/4/2024,1.1,0.47,4.6,0.13,0.91,
Long Beach,Spring,B4_Dawn,Barnacle,B4,4,Dawn,4/4/2024,6:35,4/4/2024,19.384,-78.3,32.52,2218.565596,14.5,20240404,,33.21,6/4/2024,0.85,0.45,3.7,0.12,0.98,
Long Beach,Spring,OO_Dawn2,Open Ocean,OO2,2,Dawn,4/4/2024,6:35,4/4/2024,18.989,-78.8,32.58,2229.393111,14.63,20240404,,33.13,6/4/2024,3.25,0.65,7.1,0.15,1.27,"Reran, old TA 2296.933561 400 ml nutrients sample, used B2 for temp"
Long Beach,Spring,B1_Dusk,Barnacle,B1,1,Dusk,4/8/2024,19:19,4/9/2024,20.49,-73.8,33.88,2152.688161,15.36,20240408,,33.51,6/4/2024,NA,NA,NA,NA,NA,"Reran, old TA 2158.799027 Not nut"
